category,subcategory,file,query_used,title,creator,creator_url,license,license_version,license_url,source_page,image_url,provider
Mason,Brick / Block Work,assets\services\mason\brick-block-work.jpg,Brick Block Work Mason,Hiding in Plain Sight (Best Viewed Large),A.Davey,https://www.flickr.com/photos/40595948@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/40595948@N00/3823999070,https://live.staticflickr.com/2580/3823999070_693a77aea2_b.jpg,flickr
Mason,Plastering,assets\services\mason\plastering.jpg,Plastering Mason,"Masons Court - Rother Street, Stratford-upon-Avon",ell brown,https://www.flickr.com/photos/39415781@N06,by,2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/39415781@N06/8357718480,https://live.staticflickr.com/8503/8357718480_fbb29ac6bf_b.jpg,flickr
Mason,Concrete Work,assets\services\mason\concrete-work.jpg,Concrete Work Mason,Personal geography of 2014,Eric Fischer,https://www.flickr.com/photos/24431382@N03,by,2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/24431382@N03/15982335687,https://live.staticflickr.com/7580/15982335687_d07c8680f0_b.jpg,flickr
Mason,Tile Work,assets\services\mason\tile-work.jpg,Tile Work Mason,"Masons Court - Rother Street, Stratford-upon-Avon",ell brown,https://www.flickr.com/photos/39415781@N06,by,2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/39415781@N06/8357718480,https://live.staticflickr.com/8503/8357718480_fbb29ac6bf_b.jpg,flickr
Mason,Wall Repair,assets\services\mason\wall-repair.jpg,Wall Repair Mason,Maritime Services Board (MSB) Building c.1952,Sydney Heritage,https://www.flickr.com/photos/72079496@N04,by,2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/72079496@N04/6851772037,https://live.staticflickr.com/7202/6851772037_65a9b3a439_b.jpg,flickr
Mason,Boundary Wall,assets\services\mason\boundary-wall.jpg,Boundary Wall Mason,"King Henry VIII Grammar School - St John Street, Abergavenny",ell brown,https://www.flickr.com/photos/39415781@N06,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,https://www.flickr.com/photos/39415781@N06/18876947578,https://live.staticflickr.com/284/18876947578_9650ac2c03_b.jpg,flickr
Mason,Drainage Work,assets\services\mason\drainage-work.jpg,Drainage Work Mason,"Bright green windmill in Zaanse Schans, the Netherlands",Bogdan Migulski,https://www.flickr.com/photos/20172348@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/20172348@N00/2536715845,https://live.staticflickr.com/3038/2536715845_6792b26174_b.jpg,flickr
Mason,Bathroom Masonry,assets\services\mason\bathroom-masonry.jpg,Bathroom Masonry,U.S. delivers elderly day care center to Serbia,USACE Europe District,https://www.flickr.com/photos/34728058@N08,by,2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/34728058@N08/14270454117,https://live.staticflickr.com/5113/14270454117_d69ca42a0c_b.jpg,flickr
Mason,Kitchen Masonry,assets\services\mason\kitchen-masonry.jpg,Kitchen Masonry,"Charles Graves House (c.1795), 123 Tradd Street, Charleston, SC",Spencer Means,https://www.flickr.com/photos/28643687@N08,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,https://www.flickr.com/photos/28643687@N08/7027691909,https://live.staticflickr.com/7183/7027691909_07b1058073_b.jpg,flickr
Mason,Paving / Interlocking,assets\services\mason\paving-interlocking.jpg,Paving Interlocking,genova-swatch-beechwood,Rochester Concrete Products,https://www.flickr.com/photos/93816711@N06,by,2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/93816711@N06/16972022959,https://live.staticflickr.com/8714/16972022959_3c007b6e11_m.jpg,flickr
